"train_no","fleet_name","site_code","line_name","former_train_no","display_order","is_active","remark"
"101車","淡海輕軌","D","淡海","","101","true",""
"102車","淡海輕軌","D","淡海","","102","true",""
"103車","淡海輕軌","D","淡海","","103","true",""
"104車","淡海輕軌","D","淡海","","104","true",""
"105車","淡海輕軌","D","淡海","","105","true",""
"106車","淡海輕軌","D","淡海","","106","true",""
"107車","淡海輕軌","D","淡海","","107","true",""
"108車","淡海輕軌","D","淡海","","108","true",""
"109車","淡海輕軌","D","淡海","","109","true",""
"110車","淡海輕軌","D","淡海","","110","true",""
"111車","淡海輕軌","D","淡海","","111","true",""
"112車","淡海輕軌","D","淡海","","112","true",""
"113車","淡海輕軌","D","淡海","","113","true",""
"114車","淡海輕軌","D","淡海","","114","true",""
"115車","淡海輕軌","D","淡海","","115","true",""
"117車","淡海輕軌","D","淡海","215車","117","true","原/對應車號 215"
"118車","淡海輕軌","D","淡海","214車","118","true","原/對應車號 214"
"119車","淡海輕軌","D","淡海","213車","119","true","原/對應車號 213"
"201車","安坑輕軌","K","安坑","","201","true",""
"202車","安坑輕軌","K","安坑","","202","true",""
"203車","安坑輕軌","K","安坑","","203","true",""
"204車","安坑輕軌","K","安坑","","204","true",""
"205車","安坑輕軌","K","安坑","","205","true",""
"206車","安坑輕軌","K","安坑","","206","true",""
"207車","安坑輕軌","K","安坑","","207","true",""
"208車","安坑輕軌","K","安坑","","208","true",""
"209車","安坑輕軌","K","安坑","","209","true",""
"210車","安坑輕軌","K","安坑","","210","true",""
"211車","安坑輕軌","K","安坑","","211","true",""
"212車","安坑輕軌","K","安坑","","212","true",""
